"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"aston martin","DBS","Car",510,,"Manual",6,"2-Wheel Drive, Rear",4500,3.7,35.9,"Not eqipped",0.003,0,390.5,0.058,22.9,
2011,"aston martin","Rapide","Car",470,12,"Semi-Automatic",6,"2-Wheel Drive, Rear",4750,3.46,28.7,"Not eqipped",0.0003,0.006,332.02,0.0055,26.6,"Three-way catalyst"
2011,"aston martin","DBS","Car",510,,"Semi-Automatic",6,"2-Wheel Drive, Rear",4500,3.46,31.2,"Not eqipped",0.004,0.018,358.013,0.005,24.7,
2011,"aston martin","DB9","Car",470,,"Manual",6,"2-Wheel Drive, Rear",4500,3.54,34.9,"Not eqipped",0.00042,0.0184,378.31,0.0079,23.7,
2011,"aston martin","DB9","Car",470,12,"Semi-Automatic",6,"2-Wheel Drive, Rear",4500,3.15,28.6,"Not eqipped",0.002,0.054,323.98,0.008,27.2,"Three-way catalyst"
2011,"aston martin","V8 VANTAGE S","Car",430,8,"Automated Manual",7,"2-Wheel Drive, Rear",4000,4.18,36.2,"Not eqipped",0.00034,0.1417,306.95,0.00002,28.8,"Three-way catalyst"
2011,"aston martin","V8 VANTAGE","Car",420,8,"Automated Manual",6,"2-Wheel Drive, Rear",4000,3.91,38.6,"Not eqipped",0.0017,0.2568,323.1989,0.0021,27.4,"Three-way catalyst"
2011,"aston martin","{}","Car",420,8,"Manual",6,"2-Wheel Drive, Rear",4000,3.91,38.6,"Not eqipped",0.0079,0.3147,333.29,0.054,26.5,"Three-way catalyst"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",6000,3.27,26.8,"Not eqipped",0.003477,0,271.5974079,0.0404411,37.4,"Selective Catalytic Reduction"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",6000,3.27,26.8,"Not eqipped",0.003477,0,271.5974079,0.0404411,37.4,"Oxidation catalyst"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",6000,3.27,26.8,"Not eqipped",0.003477,0,271.5974079,0.0404411,37.4,"Diesel Particulate Filter"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",5250,3.27,26.8,"Not eqipped",0.0014,0,250,0.045,40.7,"Diesel Particulate Filter"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",5250,3.27,26.8,"Not eqipped",0.0014,0,250,0.045,40.7,"Selective Catalytic Reduction"
2011,"Audi","Q7","Truck",225,6,"Automatic",8,"All Wheel Drive",5250,3.27,26.8,"Not eqipped",0.0014,0,250,0.045,40.7,"Oxidation catalyst"
2011,"Audi","GTI","Car",200,4,"Automatic",6,"2-Wheel Drive, Front",3375,4.06,40.7,"Not eqipped",0.0067,0.09,201,0.002,44,"Three-way catalyst"
2011,"Audi","TIGUAN","Car",200,4,"Manual",6,"2-Wheel Drive, Front",3875,3.3,38.5,"Not eqipped",0.0030219,0.0925317,248.3542822,0.0041642,35.8,"Three-way catalyst"
2011,"Audi","A6 QUATTRO","Car",350,,"Automatic",6,"All Wheel Drive",4500,3.31,31.3,"Not eqipped",0.0104,0.097,274,0.0293,32.2,
2011,"Audi","A4","Car",211,,"Continuously Variable",1,"2-Wheel Drive, Front",3875,3.09,26.1,"Not eqipped",0.0116,0.11,207,0.005,42.9,
2011,"Audi","A3","Car",200,,"Automatic",6,"2-Wheel Drive, Front",3750,4.06,40.7,"Not eqipped",0.002,0.13,222,0.002,40,
2011,"Audi","A4","Both",211,4,"Automatic",8,"All Wheel Drive",4000,2.85,25.8,"Equipped, not shifted by SIL",0.0097,0.13,220,0.005,40.3,"Three-way catalyst"
2011,"Audi","A4","Both",211,4,"Automatic",8,"All Wheel Drive",4250,2.85,25.8,"Equipped, not shifted by SIL",0.0089,0.13,235,0.002,37.8,"Three-way catalyst"
2011,"Audi","TIGUAN","Car",200,4,"Automatic",6,"2-Wheel Drive, Front",3875,4.24,37.1,"Not eqipped",0.0074,0.13,257,0.004,34.5,"Three-way catalyst"
2011,"Audi","A3","Car",200,,"Automatic",6,"2-Wheel Drive, Front",3375,4.06,40.7,"Not eqipped",0.0032,0.14,206,0.002,42.9,
2011,"Audi","A4","Car",211,4,"Continuously Variable",1,"2-Wheel Drive, Front",4250,3.09,26.1,"Equipped, not shifted by SIL",0.0187,0.14,209,0.004,42.3,"Three-way catalyst"
2011,"Audi","TT Coupe","Car",211,4,"Automatic",6,"All Wheel Drive",3500,3.44,32.3,"Not eqipped",0.0041,0.14,204,0.001,43.5,"Three-way catalyst"
2011,"Audi","A3","Car",200,,"Manual",6,"2-Wheel Drive, Front",3375,3.94,40.4,"Not eqipped",0.0011,0.15,214,0.003,41.5,
2011,"Audi","A8L","Car",372,8,"Automatic",8,"All Wheel Drive",4750,3.2,26.7,"Not eqipped",0.0398,0.15,246,0.006,36.1,"Three-way catalyst"
2011,"Audi","TIGUAN","Car",200,4,"Automatic",6,"All Wheel Drive",4000,4.24,37.1,"Not eqipped",0.0122,0.15,254,0.011,34.9,"Three-way catalyst"
